session_id,repetition_no,time_seconds,percent,angle
116,1,0.0,0.0,6.5
116,1,0.027602,1.0,6.3643
116,1,0.055204,2.0,6.2286
116,1,0.082806,3.0,6.0929
116,1,0.110408,4.0,6.1228
116,1,0.13801,5.0,6.2585
116,1,0.165612,6.0,6.872998
116,1,0.193214,7.0,7.531834
116,1,0.220816,8.0,8.190666
116,1,0.248418,9.0,8.849502
116,1,0.27602,10.0,9.508333
116,1,0.303622,11.0,10.959329
116,1,0.331224,12.0,13.065432
116,1,0.358826,13.0,15.560282
116,1,0.386428,14.0,18.05515
116,1,0.41403,15.0,20.164333
116,1,0.441632,16.0,22.009062
116,1,0.469234,17.0,23.912323
116,1,0.496836,18.0,26.907929
116,1,0.524438,19.0,29.903554
116,1,0.55204,20.0,32.89916
116,1,0.579642,21.0,35.791287
116,1,0.607244,22.0,38.636785
116,1,0.634846,23.0,41.482263
116,1,0.662448,24.0,44.214478
116,1,0.69005,25.0,46.903309
116,1,0.717652,26.0,49.59214
116,1,0.745254,27.0,52.280989
116,1,0.772856,28.0,55.657595
116,1,0.800458,29.0,58.304206
116,1,0.82806,30.0,60.42525
116,1,0.855662,31.0,62.546294
116,1,0.883264,32.0,64.696083
116,1,0.910866,33.0,66.947517
116,1,0.938468,34.0,69.219907
116,1,0.96607,35.0,71.67725
116,1,0.993672,36.0,74.134593
116,1,1.021274,37.0,76.591953
116,1,1.048876,38.0,78.195998
116,1,1.076478,39.0,79.45467
116,1,1.10408,40.0,80.871
116,1,1.131682,41.0,83.059894
116,1,1.159284,42.0,85.248803
116,1,1.186886,43.0,87.437697
116,1,1.214488,44.0,88.996404
116,1,1.24209,45.0,90.367333
116,1,1.269692,46.0,91.633863
116,1,1.297294,47.0,92.900402
116,1,1.324896,48.0,94.166932
116,1,1.352498,49.0,95.43347
116,1,1.3801,50.0,96.7
116,1,1.407702,51.0,99.11363
116,1,1.435304,52.0,100.418039
116,1,1.462906,53.0,101.366489
116,1,1.490508,54.0,102.314946
116,1,1.51811,55.0,103.248
116,1,1.545712,56.0,104.176264
116,1,1.573314,57.0,105.158254
116,1,1.600916,58.0,106.330318
116,1,1.628518,59.0,107.50239
116,1,1.65612,60.0,108.674454
116,1,1.683722,61.0,109.404979
116,1,1.711324,62.0,110.062888
116,1,1.738926,63.0,110.720792
116,1,1.766528,64.0,110.889334
116,1,1.79413,65.0,110.981111
116,1,1.821732,66.0,111.072889
116,1,1.849334,67.0,111.133199
116,1,1.876936,68.0,110.606134
116,1,1.904538,69.0,109.916969
116,1,1.93214,70.0,109.182
116,1,1.959742,71.0,108.447031
116,1,1.987344,72.0,107.546313
116,1,2.014946,73.0,106.607619
116,1,2.042548,74.0,105.000371
116,1,2.07015,75.0,101.829008
116,1,2.097752,76.0,98.657645
116,1,2.125354,77.0,95.48626
116,1,2.152956,78.0,92.475337
116,1,2.180558,79.0,89.485992
116,1,2.20816,80.0,85.65
116,1,2.235762,81.0,80.163015
116,1,2.263364,82.0,74.675992
116,1,2.290966,83.0,69.189008
116,1,2.318568,84.0,62.929183
116,1,2.34617,85.0,56.915
116,1,2.373772,86.0,51.742681
116,1,2.401374,87.0,46.570326
116,1,2.428976,88.0,41.398007
116,1,2.456578,89.0,36.225652
116,1,2.48418,90.0,30.896
116,1,2.511782,91.0,24.795417
116,1,2.539384,92.0,19.040126
116,1,2.566986,93.0,13.667207
116,1,2.594588,94.0,8.294252
116,1,2.62219,95.0,6.093
116,1,2.649792,96.0,4.122405
116,1,2.677394,97.0,2.7912
116,1,2.704996,98.0,2.4608
116,1,2.732598,99.0,2.130399
116,1,2.7602,100.0,1.8
116,2,0.0,0.0,1.8
116,2,0.027602,1.0,2.537103
116,2,0.055204,2.0,3.274199
116,2,0.082806,3.0,4.011301
116,2,0.110408,4.0,4.842974
116,2,0.13801,5.0,5.899278
116,2,0.165612,6.0,6.955581
116,2,0.193214,7.0,8.011876
116,2,0.220816,8.0,9.06818
116,2,0.248418,9.0,11.147297
116,2,0.27602,10.0,14.117614
116,2,0.303622,11.0,17.409544
116,2,0.331224,12.0,20.707221
116,2,0.358826,13.0,24.004925
116,2,0.386428,14.0,27.290422
116,2,0.41403,15.0,30.538083
116,2,0.441632,16.0,33.785745
116,2,0.469234,17.0,37.056669
116,2,0.496836,18.0,40.642956
116,2,0.524438,19.0,44.229213
116,2,0.55204,20.0,47.8155
116,2,0.579642,21.0,51.401787
116,2,0.607244,22.0,54.988044
116,2,0.634846,23.0,58.574331
116,2,0.662448,24.0,62.96185
116,2,0.69005,25.0,67.410357
116,2,0.717652,26.0,70.210267
116,2,0.745254,27.0,73.010152
116,2,0.772856,28.0,75.810062
116,2,0.800458,29.0,78.388067
116,2,0.82806,30.0,80.67025
116,2,0.855662,31.0,83.001846
116,2,0.883264,32.0,85.442296
116,2,0.910866,33.0,87.882767
116,2,0.938468,34.0,90.323217
116,2,0.96607,35.0,92.645375
116,2,0.993672,36.0,93.595103
116,2,1.021274,37.0,94.544823
116,2,1.048876,38.0,95.494552
116,2,1.076478,39.0,96.444272
116,2,1.10408,40.0,97.486
116,2,1.131682,41.0,98.544404
116,2,1.159284,42.0,99.602798
116,2,1.186886,43.0,100.18331
116,2,1.214488,44.0,100.530516
116,2,1.24209,45.0,100.877725
116,2,1.269692,46.0,101.413135
116,2,1.297294,47.0,102.113681
116,2,1.324896,48.0,102.814233
116,2,1.352498,49.0,103.514779
116,2,1.3801,50.0,104.126429
116,2,1.407702,51.0,104.49093
116,2,1.435304,52.0,104.855428
116,2,1.462906,53.0,105.219929
116,2,1.490508,54.0,105.4542
116,2,1.51811,55.0,105.5865
116,2,1.545712,56.0,105.7188
116,2,1.573314,57.0,105.8511
116,2,1.600916,58.0,105.9834
116,2,1.628518,59.0,105.640052
116,2,1.65612,60.0,105.177
116,2,1.683722,61.0,104.081845
116,2,1.711324,62.0,102.692702
116,2,1.738926,63.0,101.303548
116,2,1.766528,64.0,99.967204
116,2,1.79413,65.0,98.682
116,2,1.821732,66.0,97.396796
116,2,1.849334,67.0,95.450106
116,2,1.876936,68.0,92.180394
116,2,1.904538,69.0,88.910711
116,2,1.93214,70.0,85.641
116,2,1.959742,71.0,82.429874
116,2,1.987344,72.0,79.742938
116,2,2.014946,73.0,77.055979
116,2,2.042548,74.0,74.369043
116,2,2.07015,75.0,69.9525
116,2,2.097752,76.0,65.397584
116,2,2.125354,77.0,60.842708
116,2,2.152956,78.0,56.287792
116,2,2.180558,79.0,51.470917
116,2,2.20816,80.0,46.538
116,2,2.235762,81.0,42.035636
116,2,2.263364,82.0,37.849307
116,2,2.290966,83.0,33.662943
116,2,2.318568,84.0,29.476614
116,2,2.34617,85.0,25.29025
116,2,2.373772,86.0,21.103886
116,2,2.401374,87.0,16.886382
116,2,2.428976,88.0,12.562993
116,2,2.456578,89.0,8.419009
116,2,2.48418,90.0,5.71
116,2,2.511782,91.0,3.000991
116,2,2.539384,92.0,0.292005
116,2,2.566986,93.0,0.19965
116,2,2.594588,94.0,0.2847
116,2,2.62219,95.0,0.36975
116,2,2.649792,96.0,0.4652
116,2,2.677394,97.0,0.5639
116,2,2.704996,98.0,0.6626
