global_repetition_no,session_id,repetition_no_in_session,points,start_time,end_time,duration_seconds,start_angle,end_angle,min_angle,max_angle,peak_angle,peak_percent,movement_extreme_type,movement_extreme_angle,movement_extreme_percent,amplitude
1,116,1,36,2026-05-22T16:18:22.774000+00:00,2026-05-22T16:18:26.314000+00:00,3.54,6.5,1.8,1.8,111.16,111.16,66.949153,peak,111.16,66.949153,109.36
2,116,2,29,2026-05-22T16:18:26.314000+00:00,2026-05-22T16:18:29.149000+00:00,2.835,1.8,0.86,0.12,106.01,106.01,58.201058,peak,106.01,58.201058,105.89
3,116,3,30,2026-05-22T16:18:29.149000+00:00,2026-05-22T16:18:32.059000+00:00,2.91,0.86,2.48,0.86,109.99,109.99,56.185567,peak,109.99,56.185567,109.13
4,118,1,33,2026-05-22T16:29:39.496000+00:00,2026-05-22T16:29:42.706000+00:00,3.21,2.64,3.07,2.04,110.8,110.8,59.345794,peak,110.8,59.345794,108.76
5,118,2,25,2026-05-22T16:29:42.706000+00:00,2026-05-22T16:29:45.136000+00:00,2.43,3.07,9.71,2.58,111.09,111.09,58.065844,peak,111.09,58.065844,108.51
6,118,3,29,2026-05-22T16:29:45.136000+00:00,2026-05-22T16:29:47.926000+00:00,2.79,9.71,0.68,0.68,108.46,108.46,57.526882,peak,108.46,57.526882,107.78
7,126,1,39,2026-05-23T11:36:18.516000+00:00,2026-05-23T11:36:22.386000+00:00,3.87,22.21,35.52,22.21,124.54,124.54,59.689922,peak,124.54,59.689922,102.33
8,126,2,27,2026-05-23T11:36:22.386000+00:00,2026-05-23T11:36:24.966000+00:00,2.58,35.52,39.84,35.37,130.73,130.73,53.488372,peak,130.73,53.488372,95.36
9,126,3,36,2026-05-23T11:36:24.966000+00:00,2026-05-23T11:36:28.476000+00:00,3.51,39.84,28.23,28.23,134.51,134.51,42.735043,peak,134.51,42.735043,106.28
10,127,1,34,2026-05-23T11:38:57.671000+00:00,2026-05-23T11:39:00.956000+00:00,3.285,14.04,17.62,14.0,108.2,108.2,59.360731,peak,108.2,59.360731,94.2
11,127,2,24,2026-05-23T11:39:00.956000+00:00,2026-05-23T11:39:03.251000+00:00,2.295,17.62,18.77,17.62,104.31,104.31,56.20915,peak,104.31,56.20915,86.69
12,127,3,37,2026-05-23T11:39:03.251000+00:00,2026-05-23T11:39:06.867000+00:00,3.616,18.77,12.46,12.46,106.8,106.8,44.386062,peak,106.8,44.386062,94.34
13,128,1,29,2026-05-23T11:42:07.411000+00:00,2026-05-23T11:42:10.246000+00:00,2.835,16.03,16.76,15.96,101.18,101.18,58.730159,peak,101.18,58.730159,85.22
14,128,2,21,2026-05-23T11:42:10.246000+00:00,2026-05-23T11:42:12.241000+00:00,1.995,16.76,18.54,16.76,104.74,104.74,49.62406,peak,104.74,49.62406,87.98
15,128,3,38,2026-05-23T11:42:12.241000+00:00,2026-05-23T11:42:15.916000+00:00,3.675,18.54,11.48,11.48,101.92,101.92,32.653061,peak,101.92,32.653061,90.44
