session_id,angle_points,event_type,local_events,strong_peaks,valid_repetitions_before_edge_trim,edge_trimmed_repetitions,repetitions_after_edge_trim,shape_filtered_repetitions,valid_repetitions,start_time,end_time,duration_seconds
116,110,peak_centered,6,3,3,0,3,0,3,2026-05-22T16:18:21.724000+00:00,2026-05-22T16:18:32.644000+00:00,10.92
118,99,peak_centered,6,3,3,0,3,0,3,2026-05-22T16:29:39.346000+00:00,2026-05-22T16:29:49.217000+00:00,9.871
126,100,peak_centered,4,3,3,0,3,0,3,2026-05-23T11:36:18.516000+00:00,2026-05-23T11:36:28.476000+00:00,9.96
127,93,peak_centered,4,3,3,0,3,0,3,2026-05-23T11:38:57.671000+00:00,2026-05-23T11:39:06.867000+00:00,9.196
128,93,peak_centered,6,3,3,0,3,0,3,2026-05-23T11:42:07.065000+00:00,2026-05-23T11:42:16.351000+00:00,9.286
129,91,peak_centered,5,3,3,0,3,0,3,2026-05-23T11:42:58.922000+00:00,2026-05-23T11:43:07.967000+00:00,9.045
130,98,peak_centered,5,3,3,0,3,0,3,2026-05-23T11:43:39.484000+00:00,2026-05-23T11:43:49.294000+00:00,9.81
131,75,peak_centered,5,3,3,0,3,0,3,2026-05-23T11:47:56.858000+00:00,2026-05-23T11:48:04.329000+00:00,7.471
133,85,peak_centered,5,3,3,0,3,0,3,2026-05-23T13:53:44.617000+00:00,2026-05-23T13:53:53.077000+00:00,8.46
134,73,peak_centered,5,3,3,0,3,0,3,2026-05-23T14:03:39.477000+00:00,2026-05-23T14:03:46.737000+00:00,7.26
135,68,peak_centered,5,3,3,0,3,0,3,2026-05-23T14:04:50.250000+00:00,2026-05-23T14:04:57.028000+00:00,6.778
136,77,peak_centered,5,3,3,0,3,0,3,2026-05-23T14:05:37.255000+00:00,2026-05-23T14:05:44.905000+00:00,7.65
137,81,peak_centered,4,3,3,0,3,0,3,2026-05-23T14:06:43.656000+00:00,2026-05-23T14:06:51.757000+00:00,8.101
138,83,peak_centered,4,3,3,0,3,0,3,2026-05-23T14:07:48.866000+00:00,2026-05-23T14:07:57.127000+00:00,8.261
139,102,peak_centered,5,3,3,0,3,0,3,2026-05-23T14:12:32.184000+00:00,2026-05-23T14:12:42.370000+00:00,10.186
140,92,peak_centered,5,3,3,0,3,0,3,2026-05-23T14:15:10.622000+00:00,2026-05-23T14:15:19.771000+00:00,9.149
141,91,peak_centered,5,3,3,0,3,0,3,2026-05-23T15:01:42.104000+00:00,2026-05-23T15:01:51.164000+00:00,9.06
143,114,peak_centered,7,3,3,0,3,0,3,2026-05-23T15:18:28.002000+00:00,2026-05-23T15:18:39.388000+00:00,11.386
144,84,peak_centered,5,3,3,0,3,0,3,2026-05-23T15:19:27.180000+00:00,2026-05-23T15:19:35.535000+00:00,8.355
145,83,peak_centered,5,3,3,0,3,0,3,2026-05-23T15:20:23.036000+00:00,2026-05-23T15:20:31.302000+00:00,8.266
