repetition_index,time_seconds,repetition_time_seconds,percent,standard_angle,mean_angle,sd_angle,repetition_duration_seconds
1,0.0,0.0,0.0,8.743174,8.601,8.30134,2.7602
1,0.027602,0.027602,1.0,8.819262,8.742118,8.304659,2.7602
1,0.055204,0.055204,2.0,8.908721,8.886405,8.328719,2.7602
1,0.082806,0.082806,3.0,9.101456,9.047525,8.368127,2.7602
1,0.110408,0.110408,4.0,9.353121,9.26656,8.403999,2.7602
1,0.13801,0.13801,5.0,9.692264,9.564674,8.409053,2.7602
1,0.165612,0.165612,6.0,10.141938,10.000443,8.459538,2.7602
1,0.193214,0.193214,7.0,10.739019,10.58212,8.646997,2.7602
1,0.220816,0.220816,8.0,11.508331,11.295894,8.954817,2.7602
1,0.248418,0.248418,9.0,12.462835,12.251963,9.305097,2.7602
1,0.27602,0.27602,10.0,13.634228,13.411233,9.725148,2.7602
1,0.303622,0.303622,11.0,15.062661,14.772966,10.254311,2.7602
1,0.331224,0.331224,12.0,16.742287,16.439085,10.931362,2.7602
1,0.358826,0.358826,13.0,18.655291,18.438057,11.623911,2.7602
1,0.386428,0.386428,14.0,20.784476,20.650093,12.393102,2.7602
1,0.41403,0.41403,15.0,23.12675,22.976257,13.14007,2.7602
1,0.441632,0.441632,16.0,25.659708,25.418889,13.847799,2.7602
1,0.469234,0.469234,17.0,28.329227,28.150456,14.433116,2.7602
1,0.496836,0.496836,18.0,31.133645,31.102845,15.138383,2.7602
1,0.524438,0.524438,19.0,34.056981,33.99769,15.928332,2.7602
1,0.55204,0.55204,20.0,37.037252,36.998345,16.76322,2.7602
1,0.579642,0.579642,21.0,40.035918,40.03557,17.545255,2.7602
1,0.607244,0.607244,22.0,43.084027,43.051809,18.167891,2.7602
1,0.634846,0.634846,23.0,46.163228,46.096178,18.843767,2.7602
1,0.662448,0.662448,24.0,49.257788,49.238232,19.406695,2.7602
1,0.69005,0.69005,25.0,52.408883,52.394352,19.851644,2.7602
1,0.717652,0.717652,26.0,55.593416,55.50837,20.230652,2.7602
1,0.745254,0.745254,27.0,58.766464,58.807282,20.382302,2.7602
1,0.772856,0.772856,28.0,61.930519,62.018845,20.455738,2.7602
1,0.800458,0.800458,29.0,65.090029,65.103469,20.462603,2.7602
1,0.82806,0.82806,30.0,68.198038,68.214627,20.359604,2.7602
1,0.855662,0.855662,31.0,71.255703,71.305922,20.226392,2.7602
1,0.883264,0.883264,32.0,74.224529,74.347329,19.841497,2.7602
1,0.910866,0.910866,33.0,77.073006,77.30717,19.222105,2.7602
1,0.938468,0.938468,34.0,79.784045,79.947598,18.615204,2.7602
1,0.96607,0.96607,35.0,82.346595,82.457012,17.982099,2.7602
1,0.993672,0.993672,36.0,84.75406,84.861116,17.309877,2.7602
1,1.021274,1.021274,37.0,87.021625,87.160078,16.59404,2.7602
1,1.048876,1.048876,38.0,89.152242,89.344496,15.878688,2.7602
1,1.076478,1.076478,39.0,91.144424,91.285424,15.256073,2.7602
1,1.10408,1.10408,40.0,92.976513,93.110095,14.5434,2.7602
1,1.131682,1.131682,41.0,94.631824,94.822025,13.827398,2.7602
1,1.159284,1.159284,42.0,96.130157,96.320525,13.260799,2.7602
1,1.186886,1.186886,43.0,97.455562,97.621052,12.725687,2.7602
1,1.214488,1.214488,44.0,98.634166,98.777087,12.310591,2.7602
1,1.24209,1.24209,45.0,99.666586,99.737122,12.393816,2.7602
1,1.269692,1.269692,46.0,100.555568,100.715043,12.534266,2.7602
1,1.297294,1.297294,47.0,101.306133,101.482624,12.596186,2.7602
1,1.324896,1.324896,48.0,101.942736,102.065966,12.821772,2.7602
1,1.352498,1.352498,49.0,102.408953,102.52991,13.211671,2.7602
1,1.3801,1.3801,50.0,102.725015,102.920139,13.549652,2.7602
1,1.407702,1.407702,51.0,102.884455,103.046125,14.116568,2.7602
1,1.435304,1.435304,52.0,102.88007,103.062936,14.618457,2.7602
1,1.462906,1.462906,53.0,102.684618,102.863162,15.173548,2.7602
1,1.490508,1.490508,54.0,102.334728,102.507987,15.851333,2.7602
1,1.51811,1.51811,55.0,101.835928,101.942882,16.757964,2.7602
1,1.545712,1.545712,56.0,101.180041,101.296673,17.739004,2.7602
1,1.573314,1.573314,57.0,100.363795,100.568934,18.567042,2.7602
1,1.600916,1.600916,58.0,99.373535,99.58373,19.470127,2.7602
1,1.628518,1.628518,59.0,98.176988,98.426755,20.465186,2.7602
1,1.65612,1.65612,60.0,96.778867,96.991583,21.474418,2.7602
1,1.683722,1.683722,61.0,95.218967,95.313937,22.601107,2.7602
1,1.711324,1.711324,62.0,93.491953,93.578328,23.413917,2.7602
1,1.738926,1.738926,63.0,91.631386,91.784233,24.13518,2.7602
1,1.766528,1.766528,64.0,89.666095,89.791686,24.739578,2.7602
1,1.79413,1.79413,65.0,87.553014,87.688749,25.240961,2.7602
1,1.821732,1.821732,66.0,85.260337,85.487477,25.555404,2.7602
1,1.849334,1.849334,67.0,82.801819,83.012926,25.781084,2.7602
1,1.876936,1.876936,68.0,80.216464,80.320848,25.894125,2.7602
1,1.904538,1.904538,69.0,77.458264,77.499097,25.968436,2.7602
1,1.93214,1.93214,70.0,74.57641,74.761972,25.969294,2.7602
1,1.959742,1.959742,71.0,71.615949,71.696475,25.753277,2.7602
1,1.987344,1.987344,72.0,68.588246,68.603658,25.451705,2.7602
1,2.014946,2.014946,73.0,65.436611,65.518544,25.105865,2.7602
1,2.042548,2.042548,74.0,62.212445,62.360582,24.830245,2.7602
1,2.07015,2.07015,75.0,58.897048,59.003796,24.392238,2.7602
1,2.097752,2.097752,76.0,55.482933,55.575643,23.85304,2.7602
1,2.125354,2.125354,77.0,51.998861,52.026676,23.082329,2.7602
1,2.152956,2.152956,78.0,48.506691,48.44797,22.230225,2.7602
1,2.180558,2.180558,79.0,45.044235,44.940221,21.294811,2.7602
1,2.20816,2.20816,80.0,41.631891,41.542946,20.302301,2.7602
1,2.235762,2.235762,81.0,38.28853,38.263364,19.334532,2.7602
1,2.263364,2.263364,82.0,35.014361,34.964952,18.35642,2.7602
1,2.290966,2.290966,83.0,31.814501,31.731166,17.250322,2.7602
1,2.318568,2.318568,84.0,28.7076,28.569377,16.112002,2.7602
1,2.34617,2.34617,85.0,25.699172,25.543648,15.019609,2.7602
1,2.373772,2.373772,86.0,22.842068,22.728859,13.987038,2.7602
1,2.401374,2.401374,87.0,20.179687,19.922812,13.036072,2.7602
1,2.428976,2.428976,88.0,17.720064,17.445644,12.036637,2.7602
1,2.456578,2.456578,89.0,15.475567,15.257473,11.153616,2.7602
1,2.48418,2.48418,90.0,13.499209,13.24553,10.452071,2.7602
1,2.511782,2.511782,91.0,11.848868,11.506377,9.8585,2.7602
1,2.539384,2.539384,92.0,10.508787,10.04102,9.523729,2.7602
1,2.566986,2.566986,93.0,9.49277,9.193941,9.215493,2.7602
1,2.594588,2.594588,94.0,8.783812,8.557065,9.037667,2.7602
1,2.62219,2.62219,95.0,8.359079,8.165449,8.880382,2.7602
1,2.649792,2.649792,96.0,8.1072,7.961585,8.782918,2.7602
1,2.677394,2.677394,97.0,7.996614,7.917356,8.710087,2.7602
1,2.704996,2.704996,98.0,7.985524,7.934547,8.652088,2.7602
1,2.732598,2.732598,99.0,7.991509,8.004133,8.61338,2.7602
1,2.7602,2.7602,100.0,8.016227,8.11,8.603726,2.7602
2,2.787802,0.027602,1.0,8.819262,8.742118,8.304659,2.7602
2,2.815404,0.055204,2.0,8.908721,8.886405,8.328719,2.7602
2,2.843006,0.082806,3.0,9.101456,9.047525,8.368127,2.7602
2,2.870608,0.110408,4.0,9.353121,9.26656,8.403999,2.7602
2,2.89821,0.13801,5.0,9.692264,9.564674,8.409053,2.7602
2,2.925812,0.165612,6.0,10.141938,10.000443,8.459538,2.7602
