percent,mean_angle,smooth_angle,sd_angle,mean_minus_sd,mean_plus_sd,n_repetitions
0.0,8.601,8.743174,8.30134,0.29966,16.90234,60
1.0,8.742118,8.819262,8.304659,0.437459,17.046777,60
2.0,8.886405,8.908721,8.328719,0.557686,17.215123,60
3.0,9.047525,9.101456,8.368127,0.679398,17.415652,60
4.0,9.26656,9.353121,8.403999,0.862561,17.670558,60
5.0,9.564674,9.692264,8.409053,1.155621,17.973727,60
6.0,10.000443,10.141938,8.459538,1.540905,18.459981,60
7.0,10.58212,10.739019,8.646997,1.935123,19.229117,60
8.0,11.295894,11.508331,8.954817,2.341077,20.250711,60
9.0,12.251963,12.462835,9.305097,2.946866,21.55706,60
10.0,13.411233,13.634228,9.725148,3.686085,23.136381,60
11.0,14.772966,15.062661,10.254311,4.518655,25.027277,60
12.0,16.439085,16.742287,10.931362,5.507722,27.370447,60
13.0,18.438057,18.655291,11.623911,6.814146,30.061967,60
14.0,20.650093,20.784476,12.393102,8.256991,33.043195,60
15.0,22.976257,23.12675,13.14007,9.836187,36.116327,60
16.0,25.418889,25.659708,13.847799,11.57109,39.266688,60
17.0,28.150456,28.329227,14.433116,13.71734,42.583572,60
18.0,31.102845,31.133645,15.138383,15.964462,46.241228,60
19.0,33.99769,34.056981,15.928332,18.069357,49.926022,60
20.0,36.998345,37.037252,16.76322,20.235124,53.761565,60
21.0,40.03557,40.035918,17.545255,22.490316,57.580825,60
22.0,43.051809,43.084027,18.167891,24.883918,61.2197,60
23.0,46.096178,46.163228,18.843767,27.252411,64.939945,60
24.0,49.238232,49.257788,19.406695,29.831536,68.644927,60
25.0,52.394352,52.408883,19.851644,32.542709,72.245996,60
26.0,55.50837,55.593416,20.230652,35.277719,75.739022,60
27.0,58.807282,58.766464,20.382302,38.42498,79.189584,60
28.0,62.018845,61.930519,20.455738,41.563107,82.474583,60
29.0,65.103469,65.090029,20.462603,44.640867,85.566072,60
30.0,68.214627,68.198038,20.359604,47.855023,88.57423,60
31.0,71.305922,71.255703,20.226392,51.07953,91.532314,60
32.0,74.347329,74.224529,19.841497,54.505832,94.188825,60
33.0,77.30717,77.073006,19.222105,58.085065,96.529275,60
34.0,79.947598,79.784045,18.615204,61.332395,98.562802,60
35.0,82.457012,82.346595,17.982099,64.474913,100.43911,60
36.0,84.861116,84.75406,17.309877,67.551239,102.170993,60
37.0,87.160078,87.021625,16.59404,70.566038,103.754118,60
38.0,89.344496,89.152242,15.878688,73.465809,105.223184,60
39.0,91.285424,91.144424,15.256073,76.029351,106.541497,60
40.0,93.110095,92.976513,14.5434,78.566695,107.653496,60
41.0,94.822025,94.631824,13.827398,80.994627,108.649422,60
42.0,96.320525,96.130157,13.260799,83.059726,109.581324,60
43.0,97.621052,97.455562,12.725687,84.895366,110.346739,60
44.0,98.777087,98.634166,12.310591,86.466496,111.087679,60
45.0,99.737122,99.666586,12.393816,87.343305,112.130938,60
46.0,100.715043,100.555568,12.534266,88.180777,113.24931,60
47.0,101.482624,101.306133,12.596186,88.886437,114.07881,60
48.0,102.065966,101.942736,12.821772,89.244193,114.887738,60
49.0,102.52991,102.408953,13.211671,89.318239,115.741581,60
50.0,102.920139,102.725015,13.549652,89.370487,116.469792,60
51.0,103.046125,102.884455,14.116568,88.929557,117.162693,60
52.0,103.062936,102.88007,14.618457,88.444479,117.681393,60
53.0,102.863162,102.684618,15.173548,87.689615,118.03671,60
54.0,102.507987,102.334728,15.851333,86.656654,118.35932,60
55.0,101.942882,101.835928,16.757964,85.184918,118.700846,60
56.0,101.296673,101.180041,17.739004,83.557669,119.035678,60
57.0,100.568934,100.363795,18.567042,82.001892,119.135976,60
58.0,99.58373,99.373535,19.470127,80.113603,119.053857,60
59.0,98.426755,98.176988,20.465186,77.961569,118.891941,60
60.0,96.991583,96.778867,21.474418,75.517165,118.466001,60
61.0,95.313937,95.218967,22.601107,72.71283,117.915043,60
62.0,93.578328,93.491953,23.413917,70.164411,116.992245,60
63.0,91.784233,91.631386,24.13518,67.649052,115.919413,60
64.0,89.791686,89.666095,24.739578,65.052108,114.531264,60
65.0,87.688749,87.553014,25.240961,62.447788,112.92971,60
66.0,85.487477,85.260337,25.555404,59.932073,111.042881,60
67.0,83.012926,82.801819,25.781084,57.231842,108.79401,60
68.0,80.320848,80.216464,25.894125,54.426723,106.214974,60
69.0,77.499097,77.458264,25.968436,51.530661,103.467532,60
70.0,74.761972,74.57641,25.969294,48.792678,100.731265,60
71.0,71.696475,71.615949,25.753277,45.943198,97.449752,60
72.0,68.603658,68.588246,25.451705,43.151953,94.055363,60
73.0,65.518544,65.436611,25.105865,40.412679,90.624409,60
74.0,62.360582,62.212445,24.830245,37.530337,87.190827,60
75.0,59.003796,58.897048,24.392238,34.611557,83.396034,60
76.0,55.575643,55.482933,23.85304,31.722603,79.428683,60
77.0,52.026676,51.998861,23.082329,28.944347,75.109006,60
78.0,48.44797,48.506691,22.230225,26.217745,70.678195,60
79.0,44.940221,45.044235,21.294811,23.645409,66.235032,60
80.0,41.542946,41.631891,20.302301,21.240645,61.845246,60
81.0,38.263364,38.28853,19.334532,18.928832,57.597896,60
82.0,34.964952,35.014361,18.35642,16.608532,53.321372,60
83.0,31.731166,31.814501,17.250322,14.480844,48.981487,60
84.0,28.569377,28.7076,16.112002,12.457375,44.68138,60
85.0,25.543648,25.699172,15.019609,10.524038,40.563257,60
86.0,22.728859,22.842068,13.987038,8.741821,36.715897,60
87.0,19.922812,20.179687,13.036072,6.88674,32.958884,60
88.0,17.445644,17.720064,12.036637,5.409007,29.482281,60
89.0,15.257473,15.475567,11.153616,4.103857,26.411089,60
90.0,13.24553,13.499209,10.452071,2.793459,23.697601,60
91.0,11.506377,11.848868,9.8585,1.647877,21.364877,60
92.0,10.04102,10.508787,9.523729,0.517291,19.564749,60
93.0,9.193941,9.49277,9.215493,-0.021552,18.409434,60
94.0,8.557065,8.783812,9.037667,-0.480601,17.594732,60
