session_id,angle_points,start_time,end_time,duration_seconds,min_angle,max_angle,amplitude,local_peak_count,strong_peak_count,quality_status,reject_reason
146,98,2026-05-25T07:34:41.372000+00:00,2026-05-25T07:34:51.107000+00:00,9.735,5.19,102.8,97.61,7,7,kept,
147,94,2026-05-25T07:36:14.591000+00:00,2026-05-25T07:36:23.950000+00:00,9.359,5.28,91.76,86.48,7,7,kept,
148,96,2026-05-25T07:39:23.431000+00:00,2026-05-25T07:39:33.046000+00:00,9.615,6.04,91.66,85.62,7,7,kept,
149,98,2026-05-25T07:40:26.538000+00:00,2026-05-25T07:40:36.303000+00:00,9.765,0.24,89.97,89.73,7,7,kept,
150,100,2026-05-25T07:42:51.591000+00:00,2026-05-25T07:43:01.567000+00:00,9.976,0.19,85.89,85.7,8,7,kept,
151,90,2026-05-25T07:44:08.902000+00:00,2026-05-25T07:44:17.868000+00:00,8.966,0.42,89.87,89.45,7,7,kept,
152,87,2026-05-25T07:47:15.426000+00:00,2026-05-25T07:47:24.064000+00:00,8.638,10.2,89.77,79.57,7,7,kept,
156,177,2026-05-25T08:12:35.006000+00:00,2026-05-25T08:12:44.350000+00:00,9.344,2.3,97.43,95.13,7,7,kept,
157,192,2026-05-25T08:14:39.215000+00:00,2026-05-25T08:14:49.116000+00:00,9.901,4.98,95.58,90.6,7,7,kept,
158,192,2026-05-25T08:17:54.998000+00:00,2026-05-25T08:18:05.167000+00:00,10.169,7.07,97.73,90.66,8,7,kept,
159,179,2026-05-25T08:19:05.148000+00:00,2026-05-25T08:19:14.314000+00:00,9.166,5.67,94.19,88.52,8,7,kept,
160,182,2026-05-25T08:21:35.005000+00:00,2026-05-25T08:21:44.532000+00:00,9.527,11.38,106.87,95.49,8,7,kept,
161,174,2026-05-25T08:26:22.767000+00:00,2026-05-25T08:26:31.496000+00:00,8.729,6.45,99.63,93.18,7,7,kept,
162,182,2026-05-25T08:29:36.717000+00:00,2026-05-25T08:29:46.256000+00:00,9.539,2.67,103.21,100.54,8,7,kept,
163,179,2026-05-25T08:30:55.913000+00:00,2026-05-25T08:31:05.556000+00:00,9.643,0.17,107.26,107.09,8,7,kept,
164,185,2026-05-25T08:32:20.262000+00:00,2026-05-25T08:32:30.086000+00:00,9.824,6.61,98.45,91.84,8,7,kept,
165,181,2026-05-25T08:35:27.577000+00:00,2026-05-25T08:35:36.891000+00:00,9.314,3.81,102.87,99.06,7,7,kept,
166,191,2026-05-25T08:37:22.265000+00:00,2026-05-25T08:37:32.044000+00:00,9.779,0.24,95.39,95.15,8,7,kept,
167,196,2026-05-25T08:39:35.450000+00:00,2026-05-25T08:39:45.920000+00:00,10.47,0.79,96.87,96.08,8,7,kept,
168,200,2026-05-25T08:40:22.416000+00:00,2026-05-25T08:40:32.915000+00:00,10.499,5.26,95.77,90.51,8,8,kept,
169,195,2026-05-25T08:41:40.622000+00:00,2026-05-25T08:41:50.598000+00:00,9.976,0.14,93.01,92.87,8,7,kept,
170,174,2026-05-25T08:44:16.139000+00:00,2026-05-25T08:44:25.093000+00:00,8.954,0.27,97.12,96.85,7,7,kept,
171,187,2026-05-25T08:45:23.371000+00:00,2026-05-25T08:45:33.062000+00:00,9.691,2.39,97.76,95.37,7,7,kept,
172,169,2026-05-25T08:47:17.043000+00:00,2026-05-25T08:47:26.117000+00:00,9.074,0.51,91.03,90.52,7,7,kept,
173,165,2026-05-25T08:49:46.896000+00:00,2026-05-25T08:49:56.001000+00:00,9.105,6.43,95.91,89.48,7,7,kept,
174,173,2026-05-25T08:52:31.216000+00:00,2026-05-25T08:52:40.591000+00:00,9.375,1.76,103.41,101.65,8,7,kept,
