time_seconds,percent,standard_angle,mean_angle,sd_angle,action_duration_seconds
0.0,0.0,13.44889,8.574615,7.390012,9.543577
0.095436,1.0,17.306806,12.636393,12.827303,9.543577
0.190872,2.0,22.084621,19.135661,19.371966,9.543577
0.286307,3.0,31.437821,28.880553,24.716743,9.543577
0.381743,4.0,42.127356,41.195884,25.695541,9.543577
0.477179,5.0,52.726147,55.340614,22.937624,9.543577
0.572615,6.0,61.679967,66.08407,18.429891,9.543577
0.66805,7.0,67.909626,72.129614,13.625336,9.543577
0.763486,8.0,70.651296,73.649654,10.181582,9.543577
0.858922,9.0,70.022703,72.344179,9.813282,9.543577
0.954358,10.0,66.366345,69.048964,10.905668,9.543577
1.049793,11.0,60.165826,62.941104,13.057912,9.543577
1.145229,12.0,51.959538,53.847824,16.659298,9.543577
1.240665,13.0,42.511556,42.647059,18.049597,9.543577
1.336101,14.0,33.167344,31.312741,16.526432,9.543577
1.431537,15.0,25.961016,21.809053,12.403251,9.543577
1.526972,16.0,22.946641,16.220041,8.012153,9.543577
1.622408,17.0,25.941607,17.816185,10.369236,9.543577
1.717844,18.0,34.597531,27.575187,20.404261,9.543577
1.81328,19.0,46.861258,46.287568,29.005657,9.543577
1.908715,20.0,59.555114,65.088676,28.502458,9.543577
2.004151,21.0,69.74994,77.538676,18.460103,9.543577
2.099587,22.0,75.148886,81.285465,10.844897,9.543577
2.195023,23.0,75.181932,78.549313,7.08379,9.543577
2.290458,24.0,70.43252,73.282298,9.667142,9.543577
2.385894,25.0,62.249976,65.253907,14.289009,9.543577
2.48133,26.0,52.377713,53.791617,17.202039,9.543577
2.576766,27.0,41.958103,40.372743,17.819879,9.543577
2.672202,28.0,32.782012,29.188,15.941733,9.543577
2.767637,29.0,27.529982,21.184246,11.983924,9.543577
2.863073,30.0,27.842549,19.373454,10.434979,9.543577
2.958509,31.0,34.189874,27.531469,19.071002,9.543577
3.053945,32.0,44.931027,41.935576,28.568899,9.543577
3.14938,33.0,56.933001,60.924624,28.620365,9.543577
3.244816,34.0,67.192615,74.890011,23.172931,9.543577
3.340252,35.0,73.509339,79.383326,17.619009,9.543577
3.435688,36.0,74.471299,78.829539,11.890916,9.543577
3.531123,37.0,70.18991,73.519195,10.078616,9.543577
3.626559,38.0,62.484766,65.734424,15.340325,9.543577
3.721995,39.0,52.547292,53.483063,18.731102,9.543577
3.817431,40.0,42.107518,40.857609,19.293824,9.543577
3.912867,41.0,32.637795,29.142169,18.160759,9.543577
4.008302,42.0,27.197245,21.320327,15.65513,9.543577
4.103738,43.0,27.435852,18.385808,11.809837,9.543577
4.199174,44.0,33.429132,26.280313,16.875024,9.543577
4.29461,45.0,43.659477,42.050645,25.860464,9.543577
4.390045,46.0,55.349218,59.108568,29.703092,9.543577
4.485481,47.0,65.301663,72.472053,25.043849,9.543577
4.580917,48.0,71.161659,76.83451,21.025888,9.543577
4.676353,49.0,72.295035,76.042539,18.510547,9.543577
4.771789,50.0,68.766769,71.350628,14.438584,9.543577
4.867224,51.0,61.930986,64.775448,14.714929,9.543577
4.96266,52.0,52.92616,54.830721,19.385746,9.543577
5.058096,53.0,43.515346,42.655593,20.718177,9.543577
5.153532,54.0,35.417253,31.018411,20.07413,9.543577
5.248967,55.0,30.49895,24.296556,18.796356,9.543577
5.344403,56.0,30.546894,24.284985,20.065597,9.543577
5.439839,57.0,36.000185,30.239207,24.669858,9.543577
5.535275,58.0,45.70551,42.89531,28.050507,9.543577
5.63071,59.0,56.636713,58.284868,24.76117,9.543577
5.726146,60.0,65.62164,72.823179,22.455174,9.543577
5.821582,61.0,70.792682,78.941003,21.859852,9.543577
5.917018,62.0,71.603369,75.16384,20.507941,9.543577
6.012454,63.0,67.784341,68.750519,19.656527,9.543577
6.107889,64.0,60.577197,62.338304,19.714518,9.543577
6.203325,65.0,52.13424,53.728039,20.809376,9.543577
6.298761,66.0,43.8617,42.905283,23.058828,9.543577
6.394197,67.0,37.03439,32.949056,21.563152,9.543577
6.489632,68.0,33.074474,27.387816,19.666902,9.543577
6.585068,69.0,33.426826,28.201755,22.646683,9.543577
6.680504,70.0,38.294065,33.92846,26.625238,9.543577
6.77594,71.0,47.216841,44.667045,26.67011,9.543577
6.871375,72.0,56.887266,57.285247,23.399685,9.543577
6.966811,73.0,64.794121,72.001696,20.607747,9.543577
7.062247,74.0,69.575244,76.55388,20.809593,9.543577
7.157683,75.0,70.466776,73.462736,20.102099,9.543577
7.253119,76.0,66.713408,68.572663,21.738653,9.543577
7.348554,77.0,60.136019,61.742906,20.419004,9.543577
7.44399,78.0,52.453172,53.234855,20.561894,9.543577
7.539426,79.0,44.429851,43.666934,21.438987,9.543577
7.634862,80.0,37.703698,35.048503,21.758573,9.543577
7.730297,81.0,33.476463,28.456054,21.603023,9.543577
7.825733,82.0,32.361909,28.112145,23.508739,9.543577
7.921169,83.0,34.847334,32.098678,25.521841,9.543577
8.016605,84.0,40.143233,38.094166,25.829222,9.543577
8.11204,85.0,46.00971,47.475626,25.04427,9.543577
8.207476,86.0,49.788479,54.935552,25.986603,9.543577
8.302912,87.0,49.699959,57.44453,28.622653,9.543577
8.398348,88.0,44.875922,50.992523,31.213294,9.543577
8.493784,89.0,36.988354,37.651566,27.759951,9.543577
8.589219,90.0,28.028554,23.355438,20.014352,9.543577
8.684655,91.0,20.308083,15.497711,16.806512,9.543577
8.780091,92.0,15.297961,12.645531,15.419182,9.543577
8.875527,93.0,13.178503,12.39017,17.449153,9.543577
8.970962,94.0,12.53384,12.600954,18.133183,9.543577
9.066398,95.0,12.346814,12.758151,18.471837,9.543577
9.161834,96.0,12.071157,12.274394,17.482169,9.543577
9.25727,97.0,11.648921,11.7104,14.364453,9.543577
9.352705,98.0,11.285829,11.011884,10.060588,9.543577
9.448141,99.0,11.038688,10.489776,7.866169,9.543577
9.543577,100.0,10.814784,10.942692,8.08197,9.543577
