global_cycle_no,session_id,cycle_no_in_session,points,start_time,end_time,duration_seconds,start_angle,end_angle,max_angle,peak_angle,peak_percent,amplitude
1,91,2,13,2026-05-22T14:47:01.508000+00:00,2026-05-22T14:47:02.708000+00:00,1.2,7.79,5.63,62.06,62.06,50.0,54.27
2,91,3,12,2026-05-22T14:47:02.708000+00:00,2026-05-22T14:47:03.818000+00:00,1.11,5.63,6.42,63.19,63.19,54.054054,56.77
3,91,4,13,2026-05-22T14:47:03.818000+00:00,2026-05-22T14:47:05.184000+00:00,1.366,6.42,3.33,62.97,62.97,43.923865,56.55
4,91,6,12,2026-05-22T14:47:06.128000+00:00,2026-05-22T14:47:07.239000+00:00,1.111,3.36,10.52,66.74,66.74,55.355536,56.22
5,91,7,12,2026-05-22T14:47:07.239000+00:00,2026-05-22T14:47:08.348000+00:00,1.109,10.52,12.89,62.69,62.69,54.102795,49.8
6,91,8,12,2026-05-22T14:47:08.348000+00:00,2026-05-22T14:47:09.459000+00:00,1.111,12.89,14.29,59.1,59.1,51.39514,44.81
7,91,9,13,2026-05-22T14:47:09.459000+00:00,2026-05-22T14:47:10.659000+00:00,1.2,14.29,8.26,60.95,60.95,50.0,46.66
8,92,2,14,2026-05-22T14:50:06.293000+00:00,2026-05-22T14:50:07.613000+00:00,1.32,9.61,4.75,67.78,67.78,54.545455,58.17
9,92,3,11,2026-05-22T14:50:07.613000+00:00,2026-05-22T14:50:08.633000+00:00,1.02,4.75,12.13,67.97,67.97,66.176471,55.84
10,92,4,13,2026-05-22T14:50:08.633000+00:00,2026-05-22T14:50:09.893000+00:00,1.26,12.13,2.36,65.34,65.34,55.952381,53.21
11,92,5,12,2026-05-22T14:50:09.893000+00:00,2026-05-22T14:50:10.973000+00:00,1.08,2.36,1.51,64.1,64.1,40.277778,61.74
12,92,6,12,2026-05-22T14:50:10.973000+00:00,2026-05-22T14:50:12.053000+00:00,1.08,1.51,6.64,73.29,73.29,54.166667,66.65
13,92,7,13,2026-05-22T14:50:12.053000+00:00,2026-05-22T14:50:13.313000+00:00,1.26,6.64,2.74,68.56,68.56,47.619048,61.92
