session_id,cycle_no,time_seconds,percent,angle
91,2,0.0,0.0,7.79
91,2,0.010998,1.0,7.760667
91,2,0.021996,2.0,7.731333
91,2,0.032994,3.0,7.702
91,2,0.043992,4.0,7.672667
91,2,0.05499,5.0,7.643333
91,2,0.065987,6.0,7.614
91,2,0.076985,7.0,7.584667
91,2,0.087983,8.0,7.706415
91,2,0.098981,9.0,7.979245
91,2,0.109979,10.0,8.252075
91,2,0.120977,11.0,8.524906
91,2,0.131975,12.0,8.797736
91,2,0.142973,13.0,9.070566
91,2,0.153971,14.0,9.343396
91,2,0.164969,15.0,9.616226
91,2,0.175967,16.0,9.889057
91,2,0.186964,17.0,10.340769
91,2,0.197962,18.0,10.881923
91,2,0.20896,19.0,11.423077
91,2,0.219958,20.0,11.964231
91,2,0.230956,21.0,12.505385
91,2,0.241954,22.0,13.046538
91,2,0.252952,23.0,13.587692
91,2,0.26395,24.0,14.128846
91,2,0.274948,25.0,14.67
91,2,0.285946,26.0,16.203333
91,2,0.296944,27.0,17.736667
91,2,0.307941,28.0,19.27
91,2,0.318939,29.0,20.803333
91,2,0.329937,30.0,22.336667
91,2,0.340935,31.0,23.87
91,2,0.351933,32.0,25.403333
91,2,0.362931,33.0,27.2405
91,2,0.373929,34.0,29.3815
91,2,0.384927,35.0,31.5225
91,2,0.395925,36.0,33.6635
91,2,0.406923,37.0,35.8045
91,2,0.417921,38.0,37.9455
91,2,0.428918,39.0,40.0865
91,2,0.439916,40.0,42.2275
91,2,0.450914,41.0,44.3685
91,2,0.461912,42.0,46.5095
91,2,0.47291,43.0,48.545333
91,2,0.483908,44.0,50.476
91,2,0.494906,45.0,52.406667
91,2,0.505904,46.0,54.337333
91,2,0.516902,47.0,56.268
91,2,0.5279,48.0,58.198667
91,2,0.538898,49.0,60.129333
91,2,0.549895,50.0,62.06
91,2,0.560893,51.0,60.224
91,2,0.571891,52.0,58.388
91,2,0.582889,53.0,56.552
91,2,0.593887,54.0,54.716
91,2,0.604885,55.0,52.88
91,2,0.615883,56.0,51.044
91,2,0.626881,57.0,49.208
91,2,0.637879,58.0,47.288857
91,2,0.648877,59.0,45.286571
91,2,0.659875,60.0,43.284286
91,2,0.670873,61.0,41.282
91,2,0.68187,62.0,39.279714
91,2,0.692868,63.0,37.277429
91,2,0.703866,64.0,35.275143
91,2,0.714864,65.0,33.272857
