session_id,angle_points,local_minima,valid_cycles_before_edge_trim,edge_trimmed_cycles,cycles_after_edge_trim,peak_filtered_cycles,valid_cycles,start_time,end_time,duration_seconds
91,140,11,10,2,8,1,7,2026-05-22T14:46:58.568000+00:00,2026-05-22T14:47:12.669000+00:00,14.101
92,143,11,10,2,8,0,8,2026-05-22T14:50:04.283000+00:00,2026-05-22T14:50:18.608000+00:00,14.325
93,171,14,13,2,11,1,10,2026-05-22T14:53:11.634000+00:00,2026-05-22T14:53:29.214000+00:00,17.58
94,151,12,11,2,9,0,9,2026-05-22T15:01:41.671000+00:00,2026-05-22T15:01:56.762000+00:00,15.091
95,212,18,16,2,14,0,14,2026-05-22T15:03:47.052000+00:00,2026-05-22T15:04:08.293000+00:00,21.241
96,155,13,12,2,10,0,10,2026-05-22T15:05:47.950000+00:00,2026-05-22T15:06:03.445000+00:00,15.495
97,187,15,14,2,12,0,12,2026-05-22T15:07:29.758000+00:00,2026-05-22T15:07:48.493000+00:00,18.735
98,200,16,15,2,13,0,13,2026-05-22T15:10:06.005000+00:00,2026-05-22T15:10:26.135000+00:00,20.13
99,173,15,14,2,12,0,12,2026-05-22T15:14:09.854000+00:00,2026-05-22T15:14:27.165000+00:00,17.311
100,156,14,13,2,11,0,11,2026-05-22T15:14:52.768000+00:00,2026-05-22T15:15:08.369000+00:00,15.601
101,157,13,12,2,10,0,10,2026-05-22T15:16:42.545000+00:00,2026-05-22T15:16:58.311000+00:00,15.766
102,162,13,12,2,10,0,10,2026-05-22T15:19:05.647000+00:00,2026-05-22T15:19:21.862000+00:00,16.215
103,156,12,11,2,9,0,9,2026-05-22T15:21:00.464000+00:00,2026-05-22T15:21:15.990000+00:00,15.526
104,165,14,12,2,10,0,10,2026-05-22T15:25:28.767000+00:00,2026-05-22T15:25:45.297000+00:00,16.53
105,153,13,12,2,10,0,10,2026-05-22T15:26:55.455000+00:00,2026-05-22T15:27:10.770000+00:00,15.315
106,176,14,13,2,11,0,11,2026-05-22T15:29:08.694000+00:00,2026-05-22T15:29:26.335000+00:00,17.641
107,165,13,12,2,10,0,10,2026-05-22T15:30:12.652000+00:00,2026-05-22T15:30:29.257000+00:00,16.605
108,169,14,12,2,10,0,10,2026-05-22T15:31:27.385000+00:00,2026-05-22T15:31:44.306000+00:00,16.921
109,148,13,12,2,10,0,10,2026-05-22T15:34:24.686000+00:00,2026-05-22T15:34:39.507000+00:00,14.821
110,142,11,10,2,8,0,8,2026-05-22T15:37:53.019000+00:00,2026-05-22T15:38:07.224000+00:00,14.205
111,160,12,11,2,9,0,9,2026-05-22T15:40:24.864000+00:00,2026-05-22T15:40:40.885000+00:00,16.021
112,173,14,13,2,11,0,11,2026-05-22T15:41:32.652000+00:00,2026-05-22T15:41:50.068000+00:00,17.416
113,171,14,13,2,11,0,11,2026-05-22T15:46:40.488000+00:00,2026-05-22T15:46:57.693000+00:00,17.205
114,188,15,14,2,12,0,12,2026-05-22T15:47:28.209000+00:00,2026-05-22T15:47:47.080000+00:00,18.871
115,149,12,11,2,9,0,9,2026-05-22T15:50:39.391000+00:00,2026-05-22T15:50:54.318000+00:00,14.927
